Strategy (Launches/Day),Total Duration (Years),Total Cost (Billions),Finish Year,Rocket Cargo (%),SE Cargo (%)
0,186.25,0.018625000000000225,2236,0.0,100.0
1,169.0,173.36087832994394,2219,9.2541,90.7459
2,154.66666666666666,328.08938054057734,2204,16.944,83.056
3,142.58333333333334,467.9813049738279,2192,23.43275,76.56725
4,132.33333333333334,596.414768847119,2182,28.9812,71.0188
5,123.33333333333333,716.4892748134052,2173,33.77,66.23
6,115.58333333333333,829.8948922366595,2165,37.9656,62.0344
7,108.66666666666667,936.8468747889312,2158,41.646,58.35399999999999
8,102.58333333333333,1039.3947224872404,2152,44.9232,55.076800000000006
9,97.08333333333333,1137.4452817995186,2147,47.86625,52.13375
10,92.25,1231.0023179057434,2142,50.4915,49.5085
